City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
354,santa cruz,-17.8,-63.1667,24.7,94,40,2.57,BO,1675998527
355,talnakh,69.4865,88.3972,-21.37,97,100,5.52,RU,1675998528
356,chachapoyas,-6.2317,-77.869,13.05,96,99,0.87,PE,1675998529
357,usinsk,65.9939,57.5281,-1.2,94,100,9.32,RU,1675998530
358,evansville,37.9748,-87.5558,7.33,77,40,3.09,US,1675998445
359,pauini,-7.7136,-66.9764,22.52,96,100,0.76,BR,1675998531
360,watsa,3.0372,29.5355,17.68,44,32,0.84,CD,1675998531
361,khammam,17.25,80.15,23.5,69,82,1.71,IN,1675998532
362,peniche,39.3558,-9.3811,11.63,72,0,8.64,PT,1675998533
363,iberia,29.9502,-91.7507,14.98,54,0,2.57,US,1675998533
364,traralgon,-38.1833,146.5333,31.37,22,86,3.35,AU,1675998534
